Team,Wins,Losses,Season,Pitches,Zone%,Zone Swing,Zone Contact,Chase%,Chase Contact,Edge,1st Pitch Swing,Swing%,Whiff%,Meatball,Meatball Swing
Miami Marlins,62,100,2024,"22,820",48.9,70.4,81.2,32.3,56.5,42.8,37,50.9,26.8,7.3,79
Colorado Rockies,61,101,2024,"23,302",49.2,70.2,80.2,31.8,48.9,42.9,36.4,50.7,29.8,7.6,79.8
Houston Astros,88,73,2024,"22,359",48.1,69.7,85.1,31.8,58.8,42.3,37.8,50,23.6,7.1,78.9
Chicago White Sox,41,121,2024,"22,484",50.1,68.4,81.4,30.5,57,43.7,32.6,49.5,26.1,7.4,76.7
Cleveland Guardians,92,69,2024,"22,805",49.3,68.9,84,30.4,61.2,43.7,31.1,49.4,23.1,7.4,77.4
Philadelphia Phillies,95,67,2024,"23,754",48.7,68.6,83.3,30.3,54.3,42.2,34.5,49,25.9,7.2,76.8
Kansas City Royals,86,76,2024,"22,755",48.9,68.7,85.2,30.1,59.5,42.3,30.7,49,22.9,7.6,78.5
Tampa Bay Rays,80,82,2024,"23,956",48.8,67.8,79.7,30.1,55.8,43.3,34,48.5,27.9,7.4,77.7
Washington Nationals,71,91,2024,"22,769",49.9,66,84.5,29.5,61.2,43.1,32.4,47.7,22.7,7.6,76.6
Boston Red Sox,81,81,2024,"24,208",49.4,68.3,79.8,29.5,54.4,42.5,30.8,48.7,28,7.3,76.5
Atlanta Braves,89,73,2024,"23,955",49.2,71,80.1,29.4,54.5,42.6,34.3,49.8,27.5,7.3,79.7
Baltimore Orioles,91,71,2024,"24,121",49.2,68.7,83.3,29.3,58.3,42.7,30.3,48.7,24.4,7.5,76.7
Minnesota Twins,82,80,2024,"23,382",49,68.6,83,29.2,54.7,42.6,32.7,48.5,25.7,7.3,78.6
New York Mets,89,73,2024,"24,098",50.1,67.2,83.5,28.7,54.6,42.8,30.6,48,25.2,7.8,77.4
St. Louis Cardinals,83,79,2024,"23,977",50.9,65.7,83.3,28.3,57.4,42.9,30.8,47.4,24.3,8.1,73.3
Athletics,69,93,2024,"23,171",49.4,68.6,80.8,28.2,50,43,34,48.2,28.4,7.4,79.4
San Diego Padres,93,69,2024,"23,637",51.1,67.3,86.6,28.1,62.5,43.1,30.5,48.1,20.3,7.9,78
Los Angeles Angels,63,99,2024,"23,323",49.7,67.1,82.3,27.8,55.4,42.5,32.4,47.3,25.6,7.6,78.1
Chicago Cubs,83,79,2024,"23,970",50.1,68.2,81.4,27.8,58.3,43.3,32.3,48,25.3,7.7,80.8
Texas Rangers,78,84,2024,"23,201",49.2,69.8,83.8,27.7,55.3,43.2,36.3,48.4,24.5,7.7,79.5
Toronto Blue Jays,74,88,2024,"23,494",50.1,66.9,84.1,27.7,61.3,43.5,30.3,47.4,22.6,7.5,76.9
Detroit Tigers,86,76,2024,"23,763",49.8,66.5,82,27.4,54.9,42.7,27.5,46.9,26,7.6,76
Pittsburgh Pirates,76,86,2024,"23,732",49.9,66.5,81.2,27.4,50.7,43.6,33.4,46.9,27.7,7.4,79.1
Cincinnati Reds,77,85,2024,"23,183",49.7,67.2,82.3,27.1,52.2,42.4,32.5,47,26.4,7.5,76.7
San Francisco Giants,80,82,2024,"23,806",50.4,66.1,83.1,27.1,54.8,42.5,30.6,46.8,25,7.5,75.2
Arizona Diamondbacks,89,73,2024,"24,532",49.6,65.7,85.6,26.4,58.7,42.6,27,45.9,22.2,7.6,74.8
Seattle Mariners,85,77,2024,"24,320",49.7,67.6,79.8,26.3,51.5,43.4,33.5,46.8,28.2,7.5,80.2
Milwaukee Brewers,93,69,2024,"24,893",50.6,63.9,82.4,25.7,56.9,43,27,45,24.8,7.7,74.4
Los Angeles Dodgers,98,64,2024,"24,779",49.7,68.7,81.5,25.7,57.4,42.7,32.7,47.1,25.1,7.5,80.4
New York Yankees,94,68,2024,"24,962",49.7,64.8,83.3,24.5,57.9,42.9,27.5,44.6,23.8,7.7,75.2
