Team,Wins,Losses,Season,Pitches,Zone%,Zone Swing,Zone Contact,Chase%,Chase Contact,Edge,1st Pitch Swing,Swing%,Whiff%,Meatball,Meatball Swing
Athletics,60,102,2022,"22,568",49,69.1,81.3,29.8,54.1,42.7,32.4,49.1,27.2,7.8,76.5
Detroit Tigers,66,96,2022,"22,410",47.5,69.7,81.3,33.6,56.5,42.6,32.3,50.8,27.3,7.2,77.1
Pittsburgh Pirates,62,100,2022,"23,201",48.9,64.4,83.4,28.1,52.5,43.7,28.6,45.8,26.3,7.4,73.5
Miami Marlins,69,93,2022,"23,187",48,67.7,81.7,30.5,55,42.8,32.2,48.4,27,7.1,76.9
Los Angeles Angels,73,89,2022,"23,099",50.1,67.8,79.7,27.9,55.3,43.4,32.4,47.9,27.4,7.5,78.8
Cincinnati Reds,62,100,2022,"23,124",49.3,66.5,83,29.9,55.6,42.8,29.7,48,25.7,7.4,77.1
Washington Nationals,55,107,2022,"22,758",49.1,68,83.1,30.4,60.6,43.1,33.4,48.9,24,7.1,77
Tampa Bay Rays,86,76,2022,"23,435",48.3,68.5,81.1,29.2,56.6,42.8,31.9,48.1,26.6,7.3,77.4
Kansas City Royals,65,97,2022,"22,872",48.3,70.2,82.5,30.1,58.2,42.7,33.6,49.5,25.2,7.3,80.6
Arizona Diamondbacks,74,88,2022,"23,541",50,65.3,82.6,26.1,57.8,43.9,28.4,45.7,24.5,7.3,76.2
Texas Rangers,68,94,2022,"23,097",48.4,71.8,80,30,53.1,43.1,37.5,50.2,28.3,7.3,80.3
Baltimore Orioles,83,79,2022,"23,241",47.9,69.7,81.7,30.9,56.9,42.3,33.7,49.5,26.4,6.9,79
Houston Astros,106,56,2022,"22,950",47.5,68.9,84.8,29.2,59.7,42.1,35.5,48,23.2,7.2,77.5
Chicago Cubs,74,88,2022,"23,812",48.5,67.7,80.7,28.5,54.9,43.3,31.5,47.5,27.2,7.4,76.4
Philadelphia Phillies,87,75,2022,"23,854",48.4,67.2,82.9,30.9,58.1,43.1,31.5,48.4,25.3,6.9,75.9
Atlanta Braves,101,61,2022,"23,936",47.4,70.6,79.4,31.1,55.4,42.2,34.4,49.8,28.5,7.1,79.8
Colorado Rockies,68,94,2022,"23,635",49.6,66.5,83.7,30.5,60.1,43.1,29.8,48.4,23.8,7.4,76.1
Minnesota Twins,78,84,2022,"23,946",48.7,67.2,82.4,28.5,58.4,42.7,29.4,47.4,25,7.4,76.1
Seattle Mariners,90,72,2022,"24,110",48.6,67.4,82.8,26.1,56.2,42.9,29.5,46.2,24.9,7.2,77.4
San Francisco Giants,81,81,2022,"24,342",49.1,66.1,81.5,26.8,56,43,28.6,46.1,26.1,7.2,77.3
Milwaukee Brewers,86,76,2022,"24,835",49.2,65.9,82,26.2,55.4,42.6,26,45.7,25.7,7.4,74.7
Chicago White Sox,81,81,2022,"23,147",48.8,69.1,82.9,32.6,57.7,42.3,32.4,50.4,25.4,7.7,76.5
Boston Red Sox,78,84,2022,"23,900",48.3,67.9,81.9,30.5,56.9,42.9,30,48.6,26.2,7.4,77.9
Toronto Blue Jays,92,70,2022,"23,694",49.2,68.8,82.5,27.6,58.9,42.7,31.5,47.9,24.4,7.4,77.8
Cleveland Guardians,92,70,2022,"23,703",48.8,65.4,85.6,30.9,65.3,42.5,26.9,47.7,21.1,7.5,71.1
St. Louis Cardinals,93,69,2022,"24,192",48,66,82.7,29.9,60.9,43,27.1,47.2,24.4,7,72.7
New York Yankees,99,63,2022,"24,434",48.6,64.6,80.8,27.8,58.7,42.9,28.6,45.7,26.1,7.6,73.9
San Diego Padres,89,73,2022,"24,392",49.1,65.4,83.2,27.2,59.2,43.4,30.5,45.9,24.1,7.1,74.7
New York Mets,101,61,2022,"23,987",48.5,68,82.9,29.5,61.3,43.3,30.5,48.2,23.9,7.1,76.3
Los Angeles Dodgers,111,51,2022,"25,138",49.2,68.1,81.4,25.6,57.8,42.8,31.2,46.5,25.2,7.7,78.8
