Team,Wins,Losses,Season,Pitches,Zone%,Zone Swing,Zone Contact,Chase%,Chase Contact,Edge,1st Pitch Swing,Swing%,Whiff%,Meatball,Meatball Swing
Colorado Rockies,43,119,2025,"22,447",50.2,70.1,80.6,31.7,49.6,42.7,36.3,51,29,7.6,77.6
Cleveland Guardians,88,74,2025,"23,330",50.6,67,82.3,29.5,57.2,42.8,30.3,48.5,25.2,7.8,76.6
Washington Nationals,66,96,2025,"22,888",51.2,66.3,83.4,29,54.2,43,33.5,48.1,25.2,7.8,75.6
Chicago White Sox,60,102,2025,"23,243",51.2,67.3,81.9,27.8,56.7,43.8,33.9,48,25.2,8,78
Los Angeles Angels,72,90,2025,"23,764",50.6,66.9,80.5,27.3,48.5,43,34.4,47.3,28.6,7.5,76.1
Kansas City Royals,82,80,2025,"22,874",51,65.7,86.1,29,59.5,42.8,28.2,47.8,21.8,7.7,74.4
Pittsburgh Pirates,71,91,2025,"23,526",51.1,67,82.4,26.4,51.5,43.7,31.6,47.1,26,7.7,78
Baltimore Orioles,75,87,2025,"23,650",50.8,67.5,80.8,27.5,52.1,43.4,31.8,47.9,27.2,7.9,76.6
Tampa Bay Rays,77,85,2025,"23,513",51.3,68.6,80.9,29.6,57.9,43.6,35.1,49.7,25.7,7.7,79.5
Texas Rangers,81,81,2025,"23,533",50.3,67.9,83.2,28.8,55.6,43.3,32.5,48.5,24.9,7.6,77.8
Minnesota Twins,70,92,2025,"23,634",49.9,65.8,82.8,28,52.7,42.8,31.6,46.9,26.2,7.6,75.7
St. Louis Cardinals,78,84,2025,"23,489",50.6,65.2,83.9,29,57.7,43.3,31.4,47.3,24.1,7.6,73.5
San Francisco Giants,81,81,2025,"23,891",50.6,66,82.8,27.1,55.5,42.5,29.4,46.8,25,8.1,74.6
Cincinnati Reds,83,79,2025,"23,624",50.8,64.6,82.6,26.7,53.7,42.8,30.3,45.9,25.6,7.8,75
San Diego Padres,90,72,2025,"23,491",50.6,65.6,84.5,29.6,60,43.2,30.4,47.8,23,8,73.7
Houston Astros,87,75,2025,"22,962",49.3,68.1,83.4,30.5,55.4,42.8,36.7,49.1,25.4,7.5,77.5
Detroit Tigers,87,75,2025,"24,036",50.6,67.2,82.1,27.9,54.2,43.6,32.5,47.8,25.9,7.8,78.8
Miami Marlins,79,83,2025,"23,006",51,66.8,83.8,27.8,56.7,42.9,33.2,47.7,23.9,7.9,76.6
Athletics,76,86,2025,"23,091",50.4,68.8,81.6,28.2,52.3,43.1,36.6,48.7,26.8,7.7,77.6
Chicago Cubs,92,70,2025,"23,895",51.5,67.9,83.9,26.6,56,43,32.9,47.9,23.6,8.2,77.9
Philadelphia Phillies,96,66,2025,"23,954",48.9,68.3,83.6,30.3,54.2,42.1,36,48.9,25.7,7.4,77.1
New York Mets,83,79,2025,"24,222",51.2,66.4,82.6,26.4,55.7,42.8,30.1,46.9,24.8,7.8,76.9
Toronto Blue Jays,94,68,2025,"23,366",50.4,68.1,84.8,29.3,63.3,43.1,32,48.9,21.6,7.9,77.4
Atlanta Braves,76,86,2025,"24,559",50.7,67.6,82.4,27.7,58.4,43.1,30.5,47.9,24.4,7.7,76.6
Los Angeles Dodgers,93,69,2025,"24,339",51,65.8,82.2,26.1,53.1,43.6,30.1,46.4,25.8,7.9,77.8
Seattle Mariners,90,72,2025,"24,369",50.3,67.3,80.2,28.7,54.3,42.5,33.6,48.2,27.5,7.8,76.5
Boston Red Sox,89,73,2025,"24,097",50.6,66.8,82.7,29.3,53.1,42.3,30.3,48.3,26.2,8.3,73.4
Arizona Diamondbacks,80,82,2025,"24,049",51.1,64.8,84.2,28.6,56.4,42.9,28.4,47.1,24.1,8,73
Milwaukee Brewers,97,65,2025,"24,502",51.8,63.9,84.5,25.5,58.8,43,28.2,45.4,22.5,8,73.1
New York Yankees,94,68,2025,"24,740",50.4,66,80.8,25.5,54.9,43.1,31.5,45.9,26.4,7.7,76
